Series ID,Month,Month Name,Year,Month_Year,Value,Year-format
HICP.M.BG.N.041000.4D0.INX,M09,Sep,2005,Sep 2005,47.38,2005-09-01
HICP.M.BG.N.041000.4D0.INX,M10,Oct,2005,Oct 2005,47.55,2005-10-01
HICP.M.BG.N.041000.4D0.INX,M11,Nov,2005,Nov 2005,47.8,2005-11-01
HICP.M.BG.N.041000.4D0.INX,M12,Dec,2005,Dec 2005,47.89,2005-12-01
HICP.M.BG.N.041000.4D0.INX,M01,Jan,2006,Jan 2006,48.84,2006-01-01
HICP.M.BG.N.041000.4D0.INX,M02,Feb,2006,Feb 2006,48.92,2006-02-01
HICP.M.BG.N.041000.4D0.INX,M03,Mar,2006,Mar 2006,49.23,2006-03-01
HICP.M.BG.N.041000.4D0.INX,M04,Apr,2006,Apr 2006,49.41,2006-04-01
HICP.M.BG.N.041000.4D0.INX,M05,May,2006,May 2006,49.5,2006-05-01
HICP.M.BG.N.041000.4D0.INX,M06,Jun,2006,Jun 2006,49.54,2006-06-01
HICP.M.BG.N.041000.4D0.INX,M07,Jul,2006,Jul 2006,49.67,2006-07-01
HICP.M.BG.N.041000.4D0.INX,M08,Aug,2006,Aug 2006,50.06,2006-08-01
HICP.M.BG.N.041000.4D0.INX,M09,Sep,2006,Sep 2006,50.17,2006-09-01
HICP.M.BG.N.041000.4D0.INX,M10,Oct,2006,Oct 2006,50.23,2006-10-01
HICP.M.BG.N.041000.4D0.INX,M11,Nov,2006,Nov 2006,50.4,2006-11-01
HICP.M.BG.N.041000.4D0.INX,M12,Dec,2006,Dec 2006,50.44,2006-12-01
HICP.M.BG.N.041000.4D0.INX,M01,Jan,2007,Jan 2007,50.63,2007-01-01
HICP.M.BG.N.041000.4D0.INX,M02,Feb,2007,Feb 2007,50.69,2007-02-01
HICP.M.BG.N.041000.4D0.INX,M03,Mar,2007,Mar 2007,50.84,2007-03-01
HICP.M.BG.N.041000.4D0.INX,M04,Apr,2007,Apr 2007,51.05,2007-04-01
HICP.M.BG.N.041000.4D0.INX,M05,May,2007,May 2007,51.05,2007-05-01
HICP.M.BG.N.041000.4D0.INX,M06,Jun,2007,Jun 2007,51.12,2007-06-01
