Series ID,Month,Month Name,Year,Month_Year,Value,Year-format
ICP.M.BG.N.041000.4.INX,M12,Dec,2005,Dec 2005,71.14,2005-12-01
ICP.M.BG.N.041000.4.INX,M01,Jan,2006,Jan 2006,72.55,2006-01-01
ICP.M.BG.N.041000.4.INX,M02,Feb,2006,Feb 2006,72.66,2006-02-01
ICP.M.BG.N.041000.4.INX,M03,Mar,2006,Mar 2006,73.13,2006-03-01
ICP.M.BG.N.041000.4.INX,M04,Apr,2006,Apr 2006,73.4,2006-04-01
ICP.M.BG.N.041000.4.INX,M05,May,2006,May 2006,73.53,2006-05-01
ICP.M.BG.N.041000.4.INX,M06,Jun,2006,Jun 2006,73.59,2006-06-01
ICP.M.BG.N.041000.4.INX,M07,Jul,2006,Jul 2006,73.78,2006-07-01
ICP.M.BG.N.041000.4.INX,M08,Aug,2006,Aug 2006,74.36,2006-08-01
ICP.M.BG.N.041000.4.INX,M09,Sep,2006,Sep 2006,74.52,2006-09-01
ICP.M.BG.N.041000.4.INX,M10,Oct,2006,Oct 2006,74.6,2006-10-01
ICP.M.BG.N.041000.4.INX,M11,Nov,2006,Nov 2006,74.86,2006-11-01
ICP.M.BG.N.041000.4.INX,M12,Dec,2006,Dec 2006,74.92,2006-12-01
ICP.M.BG.N.041000.4.INX,M01,Jan,2007,Jan 2007,75.21,2007-01-01
ICP.M.BG.N.041000.4.INX,M02,Feb,2007,Feb 2007,75.29,2007-02-01
ICP.M.BG.N.041000.4.INX,M03,Mar,2007,Mar 2007,75.52,2007-03-01
ICP.M.BG.N.041000.4.INX,M04,Apr,2007,Apr 2007,75.82,2007-04-01
ICP.M.BG.N.041000.4.INX,M05,May,2007,May 2007,75.82,2007-05-01
ICP.M.BG.N.041000.4.INX,M06,Jun,2007,Jun 2007,75.93,2007-06-01
ICP.M.BG.N.041000.4.INX,M07,Jul,2007,Jul 2007,76.55,2007-07-01
ICP.M.BG.N.041000.4.INX,M08,Aug,2007,Aug 2007,77.74,2007-08-01
ICP.M.BG.N.041000.4.INX,M09,Sep,2007,Sep 2007,77.82,2007-09-01
ICP.M.BG.N.041000.4.INX,M10,Oct,2007,Oct 2007,77.82,2007-10-01
ICP.M.BG.N.041000.4.INX,M11,Nov,2007,Nov 2007,77.98,2007-11-01
ICP.M.BG.N.041000.4.INX,M12,Dec,2007,Dec 2007,78.46,2007-12-01
ICP.M.BG.N.041000.4.INX,M01,Jan,2008,Jan 2008,80.91,2008-01-01
ICP.M.BG.N.041000.4.INX,M02,Feb,2008,Feb 2008,81.07,2008-02-01
ICP.M.BG.N.041000.4.INX,M03,Mar,2008,Mar 2008,82.18,2008-03-01
ICP.M.BG.N.041000.4.INX,M04,Apr,2008,Apr 2008,84.0,2008-04-01
ICP.M.BG.N.041000.4.INX,M05,May,2008,May 2008,85.09,2008-05-01
ICP.M.BG.N.041000.4.INX,M06,Jun,2008,Jun 2008,85.26,2008-06-01
ICP.M.BG.N.041000.4.INX,M07,Jul,2008,Jul 2008,86.09,2008-07-01
ICP.M.BG.N.041000.4.INX,M08,Aug,2008,Aug 2008,86.38,2008-08-01
ICP.M.BG.N.041000.4.INX,M09,Sep,2008,Sep 2008,87.0,2008-09-01
ICP.M.BG.N.041000.4.INX,M10,Oct,2008,Oct 2008,87.29,2008-10-01
ICP.M.BG.N.041000.4.INX,M11,Nov,2008,Nov 2008,87.76,2008-11-01
ICP.M.BG.N.041000.4.INX,M12,Dec,2008,Dec 2008,88.93,2008-12-01
ICP.M.BG.N.041000.4.INX,M01,Jan,2009,Jan 2009,89.8,2009-01-01
ICP.M.BG.N.041000.4.INX,M02,Feb,2009,Feb 2009,90.96,2009-02-01
ICP.M.BG.N.041000.4.INX,M03,Mar,2009,Mar 2009,93.38,2009-03-01
ICP.M.BG.N.041000.4.INX,M04,Apr,2009,Apr 2009,94.58,2009-04-01
ICP.M.BG.N.041000.4.INX,M05,May,2009,May 2009,94.66,2009-05-01
ICP.M.BG.N.041000.4.INX,M06,Jun,2009,Jun 2009,94.85,2009-06-01
ICP.M.BG.N.041000.4.INX,M07,Jul,2009,Jul 2009,94.85,2009-07-01
ICP.M.BG.N.041000.4.INX,M08,Aug,2009,Aug 2009,94.85,2009-08-01
ICP.M.BG.N.041000.4.INX,M09,Sep,2009,Sep 2009,95.21,2009-09-01
ICP.M.BG.N.041000.4.INX,M10,Oct,2009,Oct 2009,95.21,2009-10-01
ICP.M.BG.N.041000.4.INX,M11,Nov,2009,Nov 2009,95.21,2009-11-01
ICP.M.BG.N.041000.4.INX,M12,Dec,2009,Dec 2009,95.13,2009-12-01
ICP.M.BG.N.041000.4.INX,M01,Jan,2010,Jan 2010,94.82,2010-01-01
ICP.M.BG.N.041000.4.INX,M02,Feb,2010,Feb 2010,94.75,2010-02-01
ICP.M.BG.N.041000.4.INX,M03,Mar,2010,Mar 2010,95.91,2010-03-01
ICP.M.BG.N.041000.4.INX,M04,Apr,2010,Apr 2010,96.09,2010-04-01
ICP.M.BG.N.041000.4.INX,M05,May,2010,May 2010,96.76,2010-05-01
ICP.M.BG.N.041000.4.INX,M06,Jun,2010,Jun 2010,96.72,2010-06-01
ICP.M.BG.N.041000.4.INX,M07,Jul,2010,Jul 2010,96.29,2010-07-01
ICP.M.BG.N.041000.4.INX,M08,Aug,2010,Aug 2010,96.49,2010-08-01
ICP.M.BG.N.041000.4.INX,M09,Sep,2010,Sep 2010,96.55,2010-09-01
ICP.M.BG.N.041000.4.INX,M10,Oct,2010,Oct 2010,97.35,2010-10-01
ICP.M.BG.N.041000.4.INX,M11,Nov,2010,Nov 2010,97.35,2010-11-01
ICP.M.BG.N.041000.4.INX,M12,Dec,2010,Dec 2010,97.4,2010-12-01
ICP.M.BG.N.041000.4.INX,M01,Jan,2011,Jan 2011,97.64,2011-01-01
ICP.M.BG.N.041000.4.INX,M02,Feb,2011,Feb 2011,97.74,2011-02-01
ICP.M.BG.N.041000.4.INX,M03,Mar,2011,Mar 2011,97.62,2011-03-01
ICP.M.BG.N.041000.4.INX,M04,Apr,2011,Apr 2011,97.65,2011-04-01
ICP.M.BG.N.041000.4.INX,M05,May,2011,May 2011,97.65,2011-05-01
ICP.M.BG.N.041000.4.INX,M06,Jun,2011,Jun 2011,97.69,2011-06-01
ICP.M.BG.N.041000.4.INX,M07,Jul,2011,Jul 2011,97.69,2011-07-01
ICP.M.BG.N.041000.4.INX,M08,Aug,2011,Aug 2011,97.64,2011-08-01
ICP.M.BG.N.041000.4.INX,M09,Sep,2011,Sep 2011,97.66,2011-09-01
ICP.M.BG.N.041000.4.INX,M10,Oct,2011,Oct 2011,97.66,2011-10-01
ICP.M.BG.N.041000.4.INX,M11,Nov,2011,Nov 2011,97.66,2011-11-01
ICP.M.BG.N.041000.4.INX,M12,Dec,2011,Dec 2011,97.73,2011-12-01
ICP.M.BG.N.041000.4.INX,M01,Jan,2012,Jan 2012,97.59,2012-01-01
ICP.M.BG.N.041000.4.INX,M02,Feb,2012,Feb 2012,97.62,2012-02-01
ICP.M.BG.N.041000.4.INX,M03,Mar,2012,Mar 2012,97.78,2012-03-01
ICP.M.BG.N.041000.4.INX,M04,Apr,2012,Apr 2012,97.88,2012-04-01
ICP.M.BG.N.041000.4.INX,M05,May,2012,May 2012,98.19,2012-05-01
ICP.M.BG.N.041000.4.INX,M06,Jun,2012,Jun 2012,98.19,2012-06-01
ICP.M.BG.N.041000.4.INX,M07,Jul,2012,Jul 2012,99.11,2012-07-01
ICP.M.BG.N.041000.4.INX,M08,Aug,2012,Aug 2012,99.11,2012-08-01
ICP.M.BG.N.041000.4.INX,M09,Sep,2012,Sep 2012,99.37,2012-09-01
ICP.M.BG.N.041000.4.INX,M10,Oct,2012,Oct 2012,99.14,2012-10-01
ICP.M.BG.N.041000.4.INX,M11,Nov,2012,Nov 2012,99.2,2012-11-01
ICP.M.BG.N.041000.4.INX,M12,Dec,2012,Dec 2012,99.2,2012-12-01
ICP.M.BG.N.041000.4.INX,M01,Jan,2013,Jan 2013,98.99,2013-01-01
ICP.M.BG.N.041000.4.INX,M02,Feb,2013,Feb 2013,98.9,2013-02-01
ICP.M.BG.N.041000.4.INX,M03,Mar,2013,Mar 2013,99.15,2013-03-01
ICP.M.BG.N.041000.4.INX,M04,Apr,2013,Apr 2013,99.08,2013-04-01
ICP.M.BG.N.041000.4.INX,M05,May,2013,May 2013,99.08,2013-05-01
ICP.M.BG.N.041000.4.INX,M06,Jun,2013,Jun 2013,99.13,2013-06-01
ICP.M.BG.N.041000.4.INX,M07,Jul,2013,Jul 2013,99.13,2013-07-01
ICP.M.BG.N.041000.4.INX,M08,Aug,2013,Aug 2013,99.14,2013-08-01
ICP.M.BG.N.041000.4.INX,M09,Sep,2013,Sep 2013,99.0,2013-09-01
ICP.M.BG.N.041000.4.INX,M10,Oct,2013,Oct 2013,99.0,2013-10-01
ICP.M.BG.N.041000.4.INX,M11,Nov,2013,Nov 2013,98.9,2013-11-01
ICP.M.BG.N.041000.4.INX,M12,Dec,2013,Dec 2013,98.85,2013-12-01
ICP.M.BG.N.041000.4.INX,M01,Jan,2014,Jan 2014,98.93,2014-01-01
ICP.M.BG.N.041000.4.INX,M02,Feb,2014,Feb 2014,98.95,2014-02-01
ICP.M.BG.N.041000.4.INX,M03,Mar,2014,Mar 2014,98.97,2014-03-01
ICP.M.BG.N.041000.4.INX,M04,Apr,2014,Apr 2014,98.92,2014-04-01
ICP.M.BG.N.041000.4.INX,M05,May,2014,May 2014,99.24,2014-05-01
ICP.M.BG.N.041000.4.INX,M06,Jun,2014,Jun 2014,99.24,2014-06-01
ICP.M.BG.N.041000.4.INX,M07,Jul,2014,Jul 2014,99.19,2014-07-01
ICP.M.BG.N.041000.4.INX,M08,Aug,2014,Aug 2014,99.19,2014-08-01
ICP.M.BG.N.041000.4.INX,M09,Sep,2014,Sep 2014,99.63,2014-09-01
ICP.M.BG.N.041000.4.INX,M10,Oct,2014,Oct 2014,99.63,2014-10-01
ICP.M.BG.N.041000.4.INX,M11,Nov,2014,Nov 2014,99.63,2014-11-01
ICP.M.BG.N.041000.4.INX,M12,Dec,2014,Dec 2014,99.63,2014-12-01
ICP.M.BG.N.041000.4.INX,M01,Jan,2015,Jan 2015,99.83,2015-01-01
ICP.M.BG.N.041000.4.INX,M02,Feb,2015,Feb 2015,100.02,2015-02-01
ICP.M.BG.N.041000.4.INX,M03,Mar,2015,Mar 2015,99.95,2015-03-01
ICP.M.BG.N.041000.4.INX,M04,Apr,2015,Apr 2015,99.96,2015-04-01
ICP.M.BG.N.041000.4.INX,M05,May,2015,May 2015,99.96,2015-05-01
ICP.M.BG.N.041000.4.INX,M06,Jun,2015,Jun 2015,99.96,2015-06-01
ICP.M.BG.N.041000.4.INX,M07,Jul,2015,Jul 2015,99.96,2015-07-01
ICP.M.BG.N.041000.4.INX,M08,Aug,2015,Aug 2015,99.96,2015-08-01
ICP.M.BG.N.041000.4.INX,M09,Sep,2015,Sep 2015,100.03,2015-09-01
ICP.M.BG.N.041000.4.INX,M10,Oct,2015,Oct 2015,100.06,2015-10-01
ICP.M.BG.N.041000.4.INX,M11,Nov,2015,Nov 2015,100.14,2015-11-01
ICP.M.BG.N.041000.4.INX,M12,Dec,2015,Dec 2015,100.14,2015-12-01
ICP.M.BG.N.041000.4.INX,M01,Jan,2016,Jan 2016,100.13,2016-01-01
ICP.M.BG.N.041000.4.INX,M02,Feb,2016,Feb 2016,100.14,2016-02-01
ICP.M.BG.N.041000.4.INX,M03,Mar,2016,Mar 2016,100.13,2016-03-01
ICP.M.BG.N.041000.4.INX,M04,Apr,2016,Apr 2016,100.61,2016-04-01
ICP.M.BG.N.041000.4.INX,M05,May,2016,May 2016,100.61,2016-05-01
ICP.M.BG.N.041000.4.INX,M06,Jun,2016,Jun 2016,100.61,2016-06-01
ICP.M.BG.N.041000.4.INX,M07,Jul,2016,Jul 2016,100.61,2016-07-01
ICP.M.BG.N.041000.4.INX,M08,Aug,2016,Aug 2016,100.66,2016-08-01
ICP.M.BG.N.041000.4.INX,M09,Sep,2016,Sep 2016,100.77,2016-09-01
ICP.M.BG.N.041000.4.INX,M10,Oct,2016,Oct 2016,100.89,2016-10-01
ICP.M.BG.N.041000.4.INX,M11,Nov,2016,Nov 2016,100.99,2016-11-01
ICP.M.BG.N.041000.4.INX,M12,Dec,2016,Dec 2016,100.99,2016-12-01
ICP.M.BG.N.041000.4.INX,M01,Jan,2017,Jan 2017,101.12,2017-01-01
ICP.M.BG.N.041000.4.INX,M02,Feb,2017,Feb 2017,101.12,2017-02-01
ICP.M.BG.N.041000.4.INX,M03,Mar,2017,Mar 2017,101.17,2017-03-01
ICP.M.BG.N.041000.4.INX,M04,Apr,2017,Apr 2017,101.56,2017-04-01
ICP.M.BG.N.041000.4.INX,M05,May,2017,May 2017,101.56,2017-05-01
ICP.M.BG.N.041000.4.INX,M06,Jun,2017,Jun 2017,101.65,2017-06-01
ICP.M.BG.N.041000.4.INX,M07,Jul,2017,Jul 2017,101.65,2017-07-01
ICP.M.BG.N.041000.4.INX,M08,Aug,2017,Aug 2017,101.68,2017-08-01
ICP.M.BG.N.041000.4.INX,M09,Sep,2017,Sep 2017,101.71,2017-09-01
ICP.M.BG.N.041000.4.INX,M10,Oct,2017,Oct 2017,101.93,2017-10-01
ICP.M.BG.N.041000.4.INX,M11,Nov,2017,Nov 2017,101.99,2017-11-01
ICP.M.BG.N.041000.4.INX,M12,Dec,2017,Dec 2017,102.05,2017-12-01
ICP.M.BG.N.041000.4.INX,M01,Jan,2018,Jan 2018,102.31,2018-01-01
ICP.M.BG.N.041000.4.INX,M02,Feb,2018,Feb 2018,102.57,2018-02-01
ICP.M.BG.N.041000.4.INX,M03,Mar,2018,Mar 2018,102.61,2018-03-01
ICP.M.BG.N.041000.4.INX,M04,Apr,2018,Apr 2018,103.21,2018-04-01
ICP.M.BG.N.041000.4.INX,M05,May,2018,May 2018,103.25,2018-05-01
ICP.M.BG.N.041000.4.INX,M06,Jun,2018,Jun 2018,103.25,2018-06-01
ICP.M.BG.N.041000.4.INX,M07,Jul,2018,Jul 2018,103.25,2018-07-01
ICP.M.BG.N.041000.4.INX,M08,Aug,2018,Aug 2018,104.2,2018-08-01
ICP.M.BG.N.041000.4.INX,M09,Sep,2018,Sep 2018,104.31,2018-09-01
ICP.M.BG.N.041000.4.INX,M10,Oct,2018,Oct 2018,104.31,2018-10-01
ICP.M.BG.N.041000.4.INX,M11,Nov,2018,Nov 2018,104.41,2018-11-01
ICP.M.BG.N.041000.4.INX,M12,Dec,2018,Dec 2018,104.54,2018-12-01
ICP.M.BG.N.041000.4.INX,M01,Jan,2019,Jan 2019,105.07,2019-01-01
ICP.M.BG.N.041000.4.INX,M02,Feb,2019,Feb 2019,105.14,2019-02-01
ICP.M.BG.N.041000.4.INX,M03,Mar,2019,Mar 2019,106.67,2019-03-01
ICP.M.BG.N.041000.4.INX,M04,Apr,2019,Apr 2019,106.88,2019-04-01
ICP.M.BG.N.041000.4.INX,M05,May,2019,May 2019,107.02,2019-05-01
ICP.M.BG.N.041000.4.INX,M06,Jun,2019,Jun 2019,107.19,2019-06-01
ICP.M.BG.N.041000.4.INX,M07,Jul,2019,Jul 2019,107.37,2019-07-01
ICP.M.BG.N.041000.4.INX,M08,Aug,2019,Aug 2019,107.37,2019-08-01
ICP.M.BG.N.041000.4.INX,M09,Sep,2019,Sep 2019,107.41,2019-09-01
ICP.M.BG.N.041000.4.INX,M10,Oct,2019,Oct 2019,107.49,2019-10-01
ICP.M.BG.N.041000.4.INX,M11,Nov,2019,Nov 2019,107.59,2019-11-01
ICP.M.BG.N.041000.4.INX,M12,Dec,2019,Dec 2019,107.59,2019-12-01
ICP.M.BG.N.041000.4.INX,M01,Jan,2020,Jan 2020,108.33,2020-01-01
ICP.M.BG.N.041000.4.INX,M02,Feb,2020,Feb 2020,109.23,2020-02-01
ICP.M.BG.N.041000.4.INX,M03,Mar,2020,Mar 2020,109.35,2020-03-01
